"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","Location","Design","Triplicate_CO2_avg","Triplicate_CH4_avg","Triplicate_delta_CO2_avg","Triplicate_delta_CH4"
"21",21,"2021-06-29",668.950836513333,-20.4458281042778,5.75926604328889,-52.2709104841111,"FH","LWR","BDA",813.428612107407,5.84250473493333,-20.0646544271019,-53.5647041495556
"22",22,"2021-06-29",643.8814558,-19.7046652033611,6.85213851765556,-55.8493117656667,"FH","MID","BDA",655.176946732222,6.43579098298519,-20.0237681625278,-54.7987494834815
"23",23,"2021-06-29",680.562170078889,-20.4332772743056,6.23664263324444,-54.3460948543333,"FH","MID","BDA",655.176946732222,6.43579098298519,-20.0237681625278,-54.7987494834815
"24",24,"2021-06-29",641.087214317778,-19.9333620099167,6.21859179805556,-54.2008418304444,"FH","MID","BDA",655.176946732222,6.43579098298519,-20.0237681625278,-54.7987494834815
"25",25,"2021-06-29",639.312194691111,-19.7705800588611,4.35277300388889,-53.1908223756667,"FH","UPR","BDA",621.88913719037,4.28164116895926,-19.7723839871204,-54.3970831638148
"26",26,"2021-06-29",593.289921027778,-20.0002122671667,4.22051434583333,-56.2577180116667,"FH","UPR","BDA",621.88913719037,4.28164116895926,-19.7723839871204,-54.3970831638148
"27",27,"2021-06-29",633.065295852222,-19.5463596353333,4.27163615715556,-53.7427091041111,"FH","UPR","BDA",621.88913719037,4.28164116895926,-19.7723839871204,-54.3970831638148
"28",28,"2021-06-29",632.056013358889,-19.0834137615556,1.4003901947,-47.9174265487778,"FH","LWR","REF",614.150324851852,1.40315824006296,-19.6106775670463,-45.7686918073704
"29",29,"2021-06-29",621.577565378889,-19.6552304536389,1.41381449913333,-42.691251053,"FH","LWR","REF",614.150324851852,1.40315824006296,-19.6106775670463,-45.7686918073704
"30",30,"2021-06-29",588.817395817778,-20.0933884859444,1.39527002635556,-46.6973978203333,"FH","LWR","REF",614.150324851852,1.40315824006296,-19.6106775670463,-45.7686918073704
"31",31,"2021-06-29",612.091214971111,-19.9381701058889,1.51965916821111,-43.4708786211111,"FH","MID","REF",618.464660931852,1.56215236478148,-19.9478301425556,-45.8209717508889
"32",32,"2021-06-29",633.665746752222,-20.0161316560833,1.57739281517778,-50.5259487292222,"FH","MID","REF",618.464660931852,1.56215236478148,-19.9478301425556,-45.8209717508889
"33",33,"2021-06-29",609.637021072222,-19.8891886656944,1.58940511095556,-43.4660879023333,"FH","MID","REF",618.464660931852,1.56215236478148,-19.9478301425556,-45.8209717508889
"34",34,"2021-06-29",636.428558187778,-20.2093431304167,1.58665848036667,-47.4032175285556,"FH","UPR","REF",636.138516868519,1.61118733147407,-19.4575384012685,-46.2915137836296
"35",35,"2021-06-29",661.103706043333,-19.5211475615833,1.58844185811111,-41.7651972822222,"FH","UPR","REF",636.138516868519,1.61118733147407,-19.4575384012685,-46.2915137836296
"36",36,"2021-06-29",610.883286374444,-18.6421245118056,1.65846165594444,-49.7061265401111,"FH","UPR","REF",636.138516868519,1.61118733147407,-19.4575384012685,-46.2915137836296
