Sample,Site,Reach,Location,Replicate,Date,Dry Weight + Filter (g),Ash + Filter (g),LOI (g),Depth 1 (cm),Depth 2 (cm),Depth 3 (cm),Depth 4 (cm),Average Depth (cm),Filtered Volume (ml),Sampler Radius (cm),Sampler Area (cm2),Sampler Volume (mL),Total FBPOM (g),Total FBPOM (g/m2),FBPOC (g/m2)
FBPOC,TP,REF,MID,1,6/17/2021,0.1705,0.1594,0.0111,32.0,32.7,31.8,33.0,32.4,13,8.750,240.53,7787.0991,6.6490,27.6433,14.37
FBPOC,TP,REF,MID,2,6/17/2021,0.1693,0.1579,0.0114,25.0,25.5,24.0,25.2,24.9,18,8.750,240.53,5995.1643,3.7969,15.7858,8.21
FBPOC,TP,REF,MID,3,6/17/2021,0.1703,0.1584,0.0119,44.5,45.2,45.6,46.5,45.5,25,8.750,240.53,10932.0048,5.2036,21.6342,11.25
FBPOC,TP,REF,UPR,1,6/17/2021,0.1508,0.1435,0.0073,32.5,31.4,30.3,30.8,31.3,51,8.750,240.53,7516.5049,1.0759,4.4730,2.33
FBPOC,TP,REF,UPR,2,6/17/2021,0.1684,0.1578,0.0106,14.0,14.0,12.0,13.5,13.4,26,8.750,240.53,3217.0641,1.3116,5.4529,2.84
FBPOC,TP,REF,UPR,3,6/17/2021,0.1575,0.1504,0.0071,42.5,42.3,41.3,40.5,41.7,75,8.750,240.53,10017.9978,0.9484,3.9429,2.05
FBPOC,LP,BDA,LWR,1,7/5/2021,0.1736,0.1577,0.0159,32.0,33.0,31.5,31.0,31.9,20,8.750,240.53,7666.8350,6.0951,25.3406,13.18
FBPOC,LP,BDA,LWR,2,7/5/2021,0.1501,0.1398,0.0103,32.5,34.0,33.5,32.0,33.0,30,8.750,240.53,7937.4292,2.7252,11.3300,5.89
FBPOC,LP,BDA,LWR,3,7/5/2021,0.1712,0.1513,0.0199,25.0,24.0,25.0,25.0,24.8,30,8.750,240.53,5953.0719,3.9489,16.4175,8.54
FBPOC,LP,BDA,MID,1,7/5/2021,0.2150,0.1877,0.0273,29.5,29.5,27.5,29.0,28.9,40,8.750,240.53,6945.2505,4.7401,19.7072,10.25
FBPOC,LP,BDA,MID,2,7/5/2021,0.1555,0.1454,0.0101,25.0,24.0,25.0,25.0,24.8,50,8.750,240.53,5953.0719,1.2025,4.9995,2.60
FBPOC,LP,BDA,MID,3,7/5/2021,0.1946,0.1685,0.0261,26.5,25.5,25.0,25.0,25.5,40,8.750,240.53,6133.4680,4.0021,16.6388,8.65
FBPOC,LP,BDA,UPR,1,7/5/2021,0.2276,0.1919,0.0357,30.5,29.5,28.5,30.0,29.6,40,8.750,240.53,7125.6467,6.3596,26.4403,13.75
FBPOC,LP,BDA,UPR,2,7/5/2021,0.1750,0.1600,0.0150,24.0,24.0,24.5,24.0,24.1,50,8.750,240.53,5802.7418,1.7408,7.2375,3.76
FBPOC,LP,BDA,UPR,3,7/5/2021,0.2136,0.1955,0.0181,17.5,16.0,18.5,19.0,17.8,40,8.750,240.53,4269.3748,1.9319,8.0319,4.18
FBPOC,LP,REF,LWR,1,7/5/2021,0.1730,0.1521,0.0209,15.0,17.0,18.0,19.0,17.3,30,8.750,240.53,4149.1107,2.8905,12.0175,6.25
FBPOC,LP,REF,LWR,2,7/5/2021,0.1525,0.1423,0.0102,14.0,14.0,15.0,15.0,14.5,50,8.750,240.53,3487.6583,0.7115,2.9580,1.54
FBPOC,LP,REF,LWR,3,7/5/2021,0.1460,0.1388,0.0072,10.0,10.0,10.0,9.5,9.9,50,8.750,240.53,2375.2156,0.3420,1.4220,0.74
FBPOC,LP,REF,MID,1,7/5/2021,0.1756,0.1577,0.0179,17.0,16.0,18.0,18.5,17.4,50,8.750,240.53,4179.1767,1.4961,6.2203,3.23
