"Site","Reach","Location","Replicate","Date","BPOC_Carbon_Mass_per_Area","SBPOC_Carbon_Mass_per_Area","FBPOC_Carbon_Mass_per_Area","Total_BPOC_Mass_per_Area"
"TP","BDA","MID","3","June",42.7196920624046,25.8536227843922,18.185005827103,86.7583206738998
"TP","BDA","UPR","1","June",9.30255850337038,2.80666845082394,6.35435211785289,18.4635790720472
"TP","BDA","UPR","2","June",21.8499199875797,9.41107628442421,7.77319856923223,39.0341948412362
"TP","BDA","UPR","3","June",2.81435164012805,0,14.5871900806929,17.401541720821
"TP","REF","LWR","1","June",1.28394794828088,0,1.52190853191532,2.8058564801962
"TP","REF","LWR","2","June",0,0.790898440318386,1.06593079138797,1.85682923170636
"TP","REF","LWR","3","June",4.04381989772586,2.92263797695516,2.46478142705586,9.43123930173688
"TP","REF","MID","1","June",16.8298424925387,30.3295410568661,14.3854916005578,61.5448751499626
"TP","REF","MID","2","June",1.25778904918305,0.451881794921059,8.20033820773649,9.9100090518406
"TP","REF","MID","3","June",18.7145676683457,3.60575682942843,11.262075136535,33.5823996343092
"TP","REF","UPR","1","June",11.5421278011059,3.16240297024655,2.32968440584096,17.0342151771934
"TP","REF","UPR","2","June",1.97207832702781,0.530957599058692,2.84077859379272,5.34381451987923
"TP","REF","UPR","3","June",4.81539932648734,0,2.05273653195057,6.86813585843791
"LP","BDA","LWR","1","July",0,3.35075075098366,13.1873606288714,16.538111379855
"LP","BDA","LWR","2","July",0.344821851744065,3.14540429833718,5.89155560517784,9.38178175525908
"LP","BDA","LWR","3","July",1.05673304785266,5.56200288846667,8.55428220731793,15.1730181436373
"LP","BDA","MID","1","July",11.0276934581456,1.07449390333267,10.2565327136301,22.3587200751084
"LP","BDA","MID","2","July",0.0791252650397039,1.55395629042484,2.60497237067069,4.23805392613523
"LP","BDA","MID","3","July",17.6072020894092,16.7220599937413,8.65208480367632,42.9813468868268
"LP","BDA","UPR","1","July",31.0173087256136,5.71654572393524,13.737256485224,50.4711109347729
"LP","BDA","UPR","2","July",0.179437076456159,1.22687355510155,3.75957167038267,5.16588230194038
"LP","BDA","UPR","3","July",0,0.259166047098026,4.18830843970917,4.44747448680719
"LP","REF","LWR","1","July",65.0607796062494,1.50861783206514,6.26716610816166,72.8365635464762
"LP","REF","LWR","2","July",0.28753170082734,0,1.53814840954245,1.82568011036979
"LP","REF","LWR","3","July",0.324500062362283,0.117888311672539,0.741306414010724,1.18369478804555
"LP","REF","MID","1","July",11.365111282967,4.7917846923158,3.23915959186,19.3960555671428
"LP","REF","MID","2","July",9.24233202596625,4.56452560478826,18.2908621722975,32.097719803052
"LP","REF","MID","3","July",53.4897232801289,8.24903064082289,5.12674536827619,66.8654992892279
"LP","REF","UPR","1","July",3.24824346235397,0.640583172993696,3.89393865788293,7.7827652932306
