Sample,Site,Reach,Location,Replicate,Date,Depth 1,Depth 2,Depth 3,Depth 4 ,Filtered BCPOC (ml),Filtered BFPOC (ml)
SBPOC,TP,REF,LWR,2,7/8/2021,40.5,40,41,41.5,2000,70
SBPOC,TP,REF,LWR,3,7/8/2021,22,21.5,22,21.5,1000,50
SBPOC,TP,REF,MID,1,7/8/2021,15.5,13,14,14,1000,20
SBPOC,TP,REF,MID,2,7/8/2021,18,18,17,18,1000,10
SBPOC,TP,REF,MID,3,7/8/2021,19,16.5,19,19.5,1000,15
SBPOC,TP,REF,UPR,1,7/8/2021,27,25.5,26,27,2000,50
SBPOC,TP,REF,UPR,2,7/8/2021,18,16.5,16,15,1000,30
SBPOC,TP,REF,UPR,3,7/8/2021,9,12,13,12.5,2000,100
SBPOC,LP,BDA,LWR,1,8/2/2021,30,29,30,31,1000,20
SBPOC,LP,BDA,LWR,2,8/2/2021,32,32.5,31,31.5,1000,20
SBPOC,LP,BDA,LWR,3,8/2/2021,26.5,27,27,27.5,1000,20
SBPOC,LP,BDA,MID,1,8/2/2021,26,26.5,26.5,27,1000,20
SBPOC,LP,BDA,MID,2,8/2/2021,31,29.5,30,29,1000,20
SBPOC,LP,BDA,MID,3,8/2/2021,23.5,24,25,23,300,10
SBPOC,LP,BDA,UPR,1,8/2/2021,24.5,24.5,24.5,25,1000,10
SBPOC,LP,BDA,UPR,2,8/2/2021,24.5,23.5,23,25,1000,20
SBPOC,LP,BDA,UPR,3,8/2/2021,17,17,17,18,1000,10
SBPOC,LP,REF,LWR,1,8/2/2021,11,19,17.5,15,1000,20
SBPOC,LP,REF,LWR,2,8/2/2021,24,25,22,24.5,1000,20
SBPOC,LP,REF,LWR,3,8/2/2021,12,14,14.5,13,1000,30
SBPOC,LP,REF,MID,1,8/2/2021,20,19.5,19,18,1000,20
SBPOC,LP,REF,MID,2,8/2/2021,15,14.5,14,15.5,1000,20
SBPOC,LP,REF,MID,3,8/2/2021,14,14,13,14,1000,20
SBPOC,LP,REF,UPR,1,8/2/2021,3,4,4,4,58,20
SBPOC,LP,REF,UPR,2,8/2/2021,8,5,6,9,260,30
SBPOC,LP,REF,UPR,3,8/2/2021,4,8,8,8,180,50
SBPOC,FH,BDA,LWR,1,8/3/2021,31,30,29.5,30.5,1000,10
SBPOC,FH,BDA,LWR,2,8/3/2021,8,8,7.5,9,500,10
SBPOC,FH,BDA,LWR,3,8/3/2021,22,22,22,22,1000,20
SBPOC,FH,BDA,MID,1,8/3/2021,30,26,32,29.5,1000,5
SBPOC,FH,BDA,MID,2,8/3/2021,12.5,13,13,12,500,5
SBPOC,FH,BDA,MID,3,8/3/2021,15,15,15,15,1000,5
SBPOC,FH,BDA,UPR,1,8/3/2021,28,27,26.5,27,1000,20
SBPOC,FH,BDA,UPR,2,8/3/2021,19,18,17.5,18,1000,20
SBPOC,FH,BDA,UPR,3,8/3/2021,21,19,20,19.5,1000,20
SBPOC,FH,REF,LWR,1,8/3/2021,11.5,10,13,12,1000,100
SBPOC,FH,REF,LWR,2,8/3/2021,14,14,13.5,14,1000,100
SBPOC,FH,REF,LWR,3,8/3/2021,13,13,12,14,1000,20
SBPOC,FH,REF,MID,1,8/3/2021,11.5,12,11,10.5,1000,100
SBPOC,FH,REF,MID,2,8/3/2021,10,9,9.5,10,1000,100
SBPOC,FH,REF,MID,3,8/3/2021,10,9.5,10.5,10,1000,200
SBPOC,FH,REF,UPR,1,8/3/2021,7,8,7,9,1000,50
SBPOC,FH,REF,UPR,2,8/3/2021,7.5,9.5,9,9.5,1000,50
SBPOC,FH,REF,UPR,3,8/3/2021,7,8,8.5,9,1000,50
SBPOC,TP,BDA,LWR,1,8/5/2021,44,44.5,44.5,43,1000,10
SBPOC,TP,BDA,LWR,2,8/5/2021,13,13,12,14,500,5
SBPOC,TP,BDA,LWR,3,8/5/2021,23,24,24,22,1000,10
SBPOC,TP,BDA,MID,1,8/5/2021,27,20,24,26,1000,5
SBPOC,TP,BDA,MID,2,8/5/2021,18,15,15,16,1000,5
SBPOC,TP,BDA,MID,3,8/5/2021,18,15,15,15,500,5
SBPOC,TP,BDA,UPR,1,8/5/2021,10,10,9,10,1000,3
SBPOC,TP,BDA,UPR,2,8/5/2021,9,9,11,10,500,5
SBPOC,TP,BDA,UPR,3,8/5/2021,9,9,10,11,500,30
SBPOC,TP,REF,LWR,1,8/5/2021,34.5,31.5,33,33,1000,20
SBPOC,TP,REF,LWR,2,8/5/2021,12.5,13,13,12,1000,20
SBPOC,TP,REF,LWR,3,8/5/2021,20,18,17,17,1000,20
SBPOC,TP,REF,MID,1,8/5/2021,17,15,13.5,14,1000,10
SBPOC,TP,REF,MID,2,8/5/2021,23,20,20,20,1000,10
SBPOC,TP,REF,MID,3,8/5/2021,18,18.5,18,18,1000,30
SBPOC,TP,REF,UPR,1,8/5/2021,23,22,23,23,1000,10
SBPOC,TP,REF,UPR,2,8/5/2021,28,25,25,26,1000,20
SBPOC,TP,REF,UPR,3,8/5/2021,40,41.5,41,40,1000,50
