"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","chamber","Design"
"57",65,"2021-06-08",1096.39874371111,-21.4303918926667,1.89572984247778,-40.3867039594444,"FH",7,"REF"
"58",66,"2021-06-08",666.046751356667,-17.3076147489444,1.88948614756667,-39.0389556031111,"FH",8,"REF"
"59",67,"2021-06-08",891.137312958889,-19.8858533332778,1.88486866087778,-40.2125303714444,"FH",8,"REF"
"60",68,"2021-06-08",1154.13485203333,-22.3101481855556,1.88004653308889,-39.6256521792222,"FH",8,"REF"
"61",69,"2021-06-08",592.991723177778,-16.2103456500278,1.92597347668889,-50.8726710895556,"FH",9,"REF"
"62",70,"2021-06-08",852.294627872222,-20.4211644433611,1.97833278557778,-39.4322936113333,"FH",9,"REF"
"63",71,"2021-06-08",1169.08354486667,-22.9422401178333,2.02666853285556,-50.6900958348889,"FH",9,"REF"
"64",72,"2021-06-08",640.373005788889,-16.8232555410556,1.94465511761111,-46.4014333272222,"FH",10,"REF"
"65",73,"2021-06-08",859.59968931,-19.5959636406111,1.98269223277778,-49.7619028208889,"FH",10,"REF"
"66",74,"2021-06-08",1076.14189762222,-21.1546632918056,2.0230231268,-37.3630279448889,"FH",10,"REF"
"67",75,"2021-06-08",860.006856518889,-19.0504923962222,2.27157311293333,-46.9728065014444,"FH",11,"REF"
"68",76,"2021-06-08",1059.6784511,-20.686466603,2.76280575196667,-54.7212342767778,"FH",11,"REF"
"69",77,"2021-06-08",1256.64613883333,-22.3552447241111,3.32781952563333,-60.4672948441111,"FH",11,"REF"
"70",78,"2021-06-08",1247.93465325556,-20.83627910975,2.11393639562222,-43.9486943863333,"FH",12,"REF"
"71",79,"2021-06-08",1923.26569907778,-22.8594359755833,2.46656850113333,-49.0776714433333,"FH",12,"REF"
"72",80,"2021-06-08",2614.97896894444,-24.0793865719722,2.82460260095556,-57.2936781464444,"FH",12,"REF"
