"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","chamber","Design"
"27",63,"2021-09-08",859.333742654444,-18.0914644153333,2.14542503382222,-41.771799652,"LP",9,"REF"
"28",64,"2021-09-08",725.587435233333,-16.6605566056667,1.80995951078889,-41.1250779492222,"LP",10,"REF"
"29",65,"2021-09-08",1128.20357258889,-19.8893055278889,1.5716819033,-36.4010993177778,"LP",10,"REF"
"30",66,"2021-09-08",1265.41527441111,-20.699628491,1.4980361958,-40.1791332316667,"LP",10,"REF"
"31",67,"2021-09-08",575.168208996667,-13.9131556796389,1.93928661637778,-46.3189722536667,"LP",11,"REF"
"32",68,"2021-09-08",675.559291132222,-15.6030782966667,1.94250926886667,-42.6976732463333,"LP",11,"REF"
"33",69,"2021-09-08",795.285974156667,-16.9015600853889,1.94749706868889,-42.8347918172222,"LP",11,"REF"
"34",70,"2021-09-08",644.583417822222,-15.1663655913611,1.92341345486667,-45.5485237372222,"LP",12,"REF"
"35",71,"2021-09-08",990.969595671111,-18.5876846345278,1.87061847793333,-43.9548111452222,"LP",12,"REF"
"36",72,"2021-09-08",1058.77010696667,-18.4312296196667,1.84230335867778,-42.5919584742222,"LP",12,"REF"
"37",1,"2021-09-07",564.202934602222,-34.4673096002222,1.91105274853333,-46.2536686342222,"FH",1,"BDA"
"38",2,"2021-09-07",716.56303719,-25.6220863692222,1.85420658432222,-42.2055692098889,"FH",1,"BDA"
"39",3,"2021-09-07",738.646034968889,-18.0276425493056,1.82191622652222,-42.874462675,"FH",1,"BDA"
"40",4,"2021-09-07",576.868612728889,-13.9961655199444,1.9252126097,-45.9212092255556,"FH",2,"BDA"
"41",5,"2021-09-07",716.071838274444,-15.9899938812778,1.83868941991111,-42.5172640141111,"FH",2,"BDA"
"42",6,"2021-09-07",766.503137936667,-16.4280882696111,1.88342437597778,-43.1270916097778,"FH",2,"BDA"
"43",7,"2021-09-07",554.743938618889,-13.5343657035833,1.90568923218889,-44.0667331443333,"FH",3,"BDA"
"44",8,"2021-09-07",696.091742071111,-16.0387935144167,1.82097840422222,-40.6456337596667,"FH",3,"BDA"
"45",9,"2021-09-07",833.943224463333,-17.4568141794722,1.7355917081,-40.1330750331111,"FH",3,"BDA"
"46",10,"2021-09-07",558.007749727778,-13.7975116668889,1.89046788788889,-48.5178807921111,"FH",4,"BDA"
"47",11,"2021-09-07",667.620731923333,-15.1119442649722,1.87357393783333,-40.0326889462222,"FH",4,"BDA"
"48",12,"2021-09-07",715.181444653333,-15.9297429826111,1.84677641154444,-39.4885840716667,"FH",4,"BDA"
"49",13,"2021-09-07",532.370762026667,-13.4177266556944,1.89201687307778,-41.5746916037778,"FH",5,"BDA"
"50",14,"2021-09-07",594.059301131111,-14.1532872688333,1.884110429,-39.9800298026667,"FH",5,"BDA"
"51",15,"2021-09-07",581.737210712222,-14.3571053271111,1.85624029038889,-38.219016987,"FH",5,"BDA"
"52",16,"2021-09-07",524.651828013333,-12.2470655517222,1.92606065518889,-41.2376937907778,"FH",6,"BDA"
"53",17,"2021-09-07",595.642616322222,-14.3345823025833,1.93720936297778,-35.6409260103333,"FH",6,"BDA"
"54",18,"2021-09-07",621.031215261111,-14.8038900885556,1.95708722465556,-39.7482038794444,"FH",6,"BDA"
"55",19,"2021-09-07",521.662264638889,-12.7112137453611,1.88041085765556,-48.2800374858889,"FH",7,"REF"
"56",20,"2021-09-07",541.592960464444,-13.2833512209167,1.86950821245556,-39.5973718781111,"FH",7,"REF"
"57",21,"2021-09-07",544.239798813333,-13.4676840725,1.88507867184444,-37.6859105473333,"FH",7,"REF"
"58",22,"2021-09-07",552.734474897778,-13.6819900206667,1.84885546145556,-41.2070489326667,"FH",8,"REF"
"59",23,"2021-09-07",614.35772148,-15.4704276477778,1.81780371561111,-41.7629151507778,"FH",8,"REF"
"60",24,"2021-09-07",641.747477483333,-15.5237344634167,1.8173364962,-39.8775113244444,"FH",8,"REF"
"61",25,"2021-09-07",605.286019387778,-14.6412189777778,1.8667729407,-45.2467713456667,"FH",9,"REF"
"62",26,"2021-09-07",603.282591062222,-14.902441142,1.86836847724444,-41.1617595117778,"FH",9,"REF"
"63",27,"2021-09-07",598.745442956667,-14.8128861195278,1.87452052306667,-44.9035718285556,"FH",9,"REF"
"64",28,"2021-09-07",774.256179624444,-16.8251612061111,1.88796338176667,-43.4390320326667,"FH",10,"REF"
"65",29,"2021-09-07",1243.62952182222,-20.0015958749167,1.85890166264444,-45.1317621121111,"FH",10,"REF"
"66",30,"2021-09-07",1718.37324615556,-21.4998205513889,1.79319461871111,-38.1018587476667,"FH",10,"REF"
"67",31,"2021-09-07",772.094347191111,-16.4203232060278,2.06612664678889,-42.7129030105556,"FH",11,"REF"
"68",32,"2021-09-07",1172.97632316667,-20.1631346021667,2.3104429109,-50.9409198713333,"FH",11,"REF"
"69",33,"2021-09-07",1493.49127915556,-21.5922483680278,2.5082432349,-52.7013305754444,"FH",11,"REF"
"70",34,"2021-09-07",945.12731958,-18.3168206534444,1.97199976495556,-39.0567375435556,"FH",12,"REF"
"71",35,"2021-09-07",1573.63649438889,-21.1701959731944,2.0589990881,-42.3942609757778,"FH",12,"REF"
"72",36,"2021-09-07",2078.47191758889,-22.2835001444722,2.12335364657778,-45.948045117,"FH",12,"REF"
